user_id,base,approach,geography,jnd,accuracy
OfzYj9k2na,0.2,above,3_irreg,0.384583333,0.666666667
5lK3KLmZz2,0.2,above,3_irreg,0.433333333,0.708333333
EW9BaRygWB,0.2,above,2_reg,0.275,0.75
1Ndt1LbZPV,0.2,above,3_irreg,0.441666667,0.708333333
sTSiR9O23p,0.2,above,3_irreg,0.089583333,0.791666667
fEC8P5xTYN,0.2,above,3_irreg,0.697916667,0.375
LgePartekI,0.2,above,2_reg,0.308333333,0.75
6QuMNakesE,0.2,above,2_reg,0.516666667,0.75
5xQf2bzzpv,0.2,above,3_irreg,0.610416667,0.625
pKZG6lkZCY,0.2,above,2_reg,0.420833333,0.75
AQcQpTyZwQ,0.2,above,2_reg,0.183333333,0.791666667
Xk0k1yNqnE,0.2,above,3_irreg,0.258333333,0.708333333
3woqY8yXwV,0.2,above,3_irreg,0.45,0.791666667
wES68XXPmJ,0.2,above,2_reg,0.163333333,0.708333333
iET9V47sIN,0.2,above,2_reg,0.622916667,0.625
3QnFK1q0gf,0.2,above,2_reg,0.233333333,0.791666667
R3IQRFp1A2,0.2,above,2_reg,0.13,0.75
BerVAnlgRZ,0.2,above,2_reg,0.266666667,0.75
kEXgs9Xhw9,0.2,above,3_irreg,0.483333333,0.708333333
aMUXBNoWX0,0.2,above,3_irreg,0.25125,0.75
FwkgCa2cJ7,0.2,above,3_irreg,0.184583333,0.75
tStoXKm7Aj,0.2,above,3_irreg,0.291666667,0.75
wenaTLfrvF,0.2,above,2_reg,0.099583333,0.791666667
liCrACNohT,0.2,above,2_reg,0.458333333,0.708333333
HQYzGzxnFi,0.2,above,2_reg,0.333333333,0.708333333
nX78iRR50i,0.2,above,3_irreg,0.425,0.75
1EmHBGRCIU,0.2,above,3_irreg,0.475,0.708333333
UdQYKZIhXK,0.2,above,3_irreg,0.173333333,0.791666667
l5mALDRjhd,0.2,above,2_reg,0.3,0.791666667
W1BTpnJQLX,0.2,above,3_irreg,0.433333333,0.708333333
FqXWjLv0S4,0.2,above,2_reg,0.076666667,0.75
rikc4fwqYd,0.2,above,2_reg,0.159583333,0.708333333
XTWPl5eeJu,0.2,above,2_reg,0.258333333,0.75
kdRq9v322g,0.2,above,3_irreg,0.425,0.666666667
C0juimVqfJ,0.2,above,2_reg,0.4,0.75
sUF4KXE9Qw,0.2,above,3_irreg,0.466666667,0.666666667
PHIYba3zlJ,0.2,above,3_irreg,0.6625,0.625
ST3CRXzGiE,0.2,above,2_reg,0.259583333,0.708333333
ySeGJH1CmQ,0.2,above,2_reg,0.25,0.708333333
zHyozmaaoq,0.2,above,3_irreg,0.316666667,0.75
ZZvBbipnsh,0.2,above,3_irreg,0.525,0.708333333
bl1atEvbMl,0.2,above,3_irreg,0.604166667,0.75
QJchdzW2tA,0.2,above,2_reg,0.258333333,0.708333333
S5tSs6pFtR,0.2,above,2_reg,0.283333333,0.75
xrDAlLnwrj,0.2,above,3_irreg,0.391666667,0.708333333
BsUfNFbqH5,0.2,above,3_irreg,0.17625,0.708333333
icG3IaPY36,0.2,above,2_reg,0.697916667,0.458333333
zrkoNoetjg,0.2,above,3_irreg,0.275,0.75
RWhad4Alfq,0.2,above,2_reg,0.325,0.708333333
wnxwy3G62e,0.2,above,2_reg,0.35,0.75
EcM8Cw7iCt,0.2,above,2_reg,0.266666667,0.708333333
pPLjOKGeJ4,0.2,above,2_reg,0.5,0.75
3nCOBN27fI,0.2,above,2_reg,0.275,0.708333333
giZYPDki51,0.2,above,2_reg,0.208333333,0.791666667
iamghgZcFO,0.2,above,3_irreg,0.275,0.833333333
9ZzGEbejvk,0.2,above,3_irreg,0.416666667,0.708333333
YSCbYoZGD6,0.2,below,3_irreg,0.154166667,0.5
OfzYj9k2na,0.2,below,3_irreg,0.166666667,0.5
BerVAnlgRZ,0.2,below,2_reg,0.135,0.625
IxWlbSQBYH,0.2,below,2_reg,0.153333333,0.458333333
RggIKYnHKh,0.2,below,2_reg,0.16375,0.416666667
fx20gl3Ona,0.2,below,2_reg,0.110416667,0.791666667
LgePartekI,0.2,below,2_reg,0.114166667,0.666666667
UdQYKZIhXK,0.2,below,3_irreg,0.069583333,0.791666667
rikc4fwqYd,0.2,below,2_reg,0.149166667,0.625
kdRq9v322g,0.2,below,3_irreg,0.134583333,0.666666667
CxdnrEi9N8,0.2,below,2_reg,0.1275,0.625
FqXWjLv0S4,0.2,below,2_reg,0.130416667,0.666666667
HQYzGzxnFi,0.2,below,2_reg,0.158333333,0.541666667
3QnFK1q0gf,0.2,below,2_reg,0.122916667,0.666666667
sTSiR9O23p,0.2,below,3_irreg,0.13375,0.666666667
